id,service_name,full_address,address_key,County,x,y,Type
142,Community Hospital of the Assumption,"Community Hospital of the Assumption, Thurles, Co. Tipperary, Tipperary", Thurles,Tipperary,211893.8167,159415.2131,NursingHome
143,Community Nursing Unit Abbeyleix,"Community Nursing Unit Abbeyleix, Abbeyleix, Co. Laois, Laois", Abbeyleix,Laois,243777.9427,184902.5467,NursingHome
144,Community Nursing Unit Ballymote,"Community Nursing Unit, Ballymote, Co. Sligo, Sligo", Ballymote,Sligo,166234.0965,315689.5008,NursingHome
145,Community Nursing Unit Edenderry,"Edenderry Community Nursing Unit, St. Mary's Road, Edenderry, Co. Offaly, Offaly", St. Mary's Road,Offaly,262942.2602,232806.7268,NursingHome
146,Conna Nursing Home,"Conna Nursing Home, Conna, Mallow, Co. Cork, Cork", Conna,Cork,192705.8061,93461.67206,NursingHome
147,Connolly Hospital (Silver Birch & Woodland Units),"Connolly Hospital  (Silver Birch & Woodland Units), Blanchardstown, Dublin 15, Dublin 15", Blanchardstown,Dublin,308444.7422,239331.5489,NursingHome
148,Coral Haven Residential Nursing Home,"Coral Haven Nursing Home, Headford Road, Galway, Galway", Headford Road,Galway,130940.7876,228018.8301,NursingHome
149,Corbally House Nursing Home,"Corbally House Nursing Home, Mill Road, Corbally, Limerick, Limerick", Mill Road,Limerick,157967.6593,159758.0809,NursingHome
150,Corpus Christi Nursing Home,"Corpus Christi Nursing Home, Brigown, Mitchelstown, Co. Cork, Cork", Brigown,Cork,181687.3364,112307.0179,NursingHome
151,Corrandulla Nursing Home,"Corrandulla Nursing Home, Corandulla, Galway, Co. Galway, Galway", Corandulla,Galway,133720.0905,239045.4203,NursingHome
152,Costello's Care Centre,"Costello's Care Centre, Lanesboro Road, Ballyleague, Co. Roscommon, Roscommon", Lanesboro Road,Roscommon,180399.9663,271456.8515,NursingHome
153,Cottage Hospital,"Drogheda Services for the Elderly, Cottage Hospital, Scarlet Street, Drogheda, Co. Louth Louth", Scarlet Street,Louth,309160.92,275634.6786,NursingHome
154,Cottage Nursing Home,"Cottage Nursing Home, Irishtown, Clonmel, Tipperary, Tipperary", Irishtown,Tipperary,219728.8075,122291.3408,NursingHome
155,Craddock House,"Craddockstown House, Cradockstown Demesne, Naas, Co. Kildare, W91a991", Cradockstown Demesne,Kildare,290736.5006,217560.5779,NursingHome
156,Cramers Court Nursing Home,"Cramer's Court Nursing Home, Belgooly, Kinsale, Co. Cork, Cork", Belgooly,Cork,166821.4344,53813.9587,NursingHome
157,Cuan Chaitriona Nursing Home,"Cuan Chaitriona Nursing Home, The Lawn, Castlebar, Co. Mayo, Mayo", The Lawn,Mayo,115072.6965,290145.7024,NursingHome
158,Cuil Didin,"Cuil Didin, Skahanagh, Tralee, Co. Kerry, Kerry", Skahanagh,Kerry,84577.99384,111822.3747,NursingHome
